folio_incidente,fecha_registro_incidente,id_reporte,fecha_reporte,hora_reporte,clasificacion,reporte,medio_recepcion,alcaldia_catalogo,colonia_catalogo,longitud,latitud
I-20220103-0292,04/01/2022,R-20220103-0461,03/01/2022,18:59:07,Agua Potable,Falta de agua,Ciudadano (Call Center),Coyoacan,Ajusco,-99.1537933,19.3229061
I-20220103-0293,04/01/2022,R-20220103-0459,03/01/2022,18:58:15,Agua Potable,Falta de agua,Ciudadano (Call Center),Iztapalapa,Francisco Villa,-99.0610895,19.3393749
I-20220103-0294,04/01/2022,R-20220103-0462,03/01/2022,19:00:37,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,El Tejocote,-99.2157522,19.3822114
I-20220103-0295,04/01/2022,R-20220103-0469,03/01/2022,19:18:39,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,Cuautepec De Madero,-99.1365705,19.5435964
I-20220103-0296,04/01/2022,R-20220103-0468,03/01/2022,19:14:21,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,Loma La Palma,-99.13743492,19.5584783
I-20220103-0297,04/01/2022,R-20220103-0467,03/01/2022,19:08:54,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,Ampliacion Piloto Adolfo Lopez Mateos,-99.2192134,19.3762918
I-20220103-0298,04/01/2022,R-20220103-0471,03/01/2022,19:29:24,Agua Potable,Fuga,Ciudadano (Call Center),Cuajimalpa de Morelos,Ahuatenco,-99.3029621,19.3667886
I-20220103-0299,04/01/2022,R-20220103-0465,03/01/2022,19:03:32,Agua Potable,Fuga,Ciudadano (Call Center),Coyoacan,Los Girasoles,-99.12622133,19.30968532
I-20220103-0300,04/01/2022,R-20220103-0464,03/01/2022,19:02:47,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.1734883,19.3695856
I-20220103-0301,04/01/2022,R-20220103-0463,03/01/2022,19:02:15,Agua Potable,Falta de agua,Ciudadano (Call Center),Coyoacan,Alianza Popular Revolucionaria,-99.1184804,19.3163401
I-20220103-0302,04/01/2022,R-20220103-0473,03/01/2022,19:38:53,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,2da Ampliacion Presidentes,-99.229409,19.3741421
I-20220103-0303,04/01/2022,R-20220103-0472,03/01/2022,19:34:42,Agua Potable,Falta de agua,Redes Sociales (Twitter),Alvaro Obregon,Presidentes,-99.2217162,19.3803332
I-20220103-0304,04/01/2022,R-20220103-0470,03/01/2022,19:22:50,Agua Potable,Falta de agua,Redes Sociales (Twitter),Alvaro Obregon,Ampliacion Piloto Adolfo Lopez Mateos,-99.2319179,19.369515
I-20220103-0305,04/01/2022,R-20220103-0466,03/01/2022,19:07:13,Agua Potable,Falta de agua,Ciudadano (Call Center),Cuauhtemoc,Santa Maria La Ribera,-99.1624067,19.4533194
I-20220103-0307,04/01/2022,R-20220103-0476,03/01/2022,19:45:48,Agua Potable,Falta de agua,Redes Sociales (Twitter),Benito Juarez,Actipan,-99.1767649,19.3693624
I-20220103-0308,04/01/2022,R-20220103-0491,03/01/2022,20:29:36,Agua Potable,Falta de agua,Ciudadano (Call Center),Gustavo A. Madero,Guadalupe Tepeyac,-99.1168828,19.46906
I-20220103-0309,04/01/2022,R-20220103-0492,03/01/2022,20:31:23,Agua Potable,Fuga,Ciudadano (Call Center),Alvaro Obregon,Pueblo Santa Lucia,-99.2529007,19.3620817
I-20220103-0310,04/01/2022,R-20220103-0490,03/01/2022,20:29:13,Agua Potable,Falta de agua,Ciudadano (Call Center),Coyoacan,Adolfo Ruiz Cortinez,-99.1558539,19.3174096
I-20220103-0311,04/01/2022,R-20220103-0489,03/01/2022,20:26:23,Agua Potable,Falta de agua,Ciudadano (Call Center),Gustavo A. Madero,San Juan De Aragon Vii Seccion,-99.0743984,19.4698896
I-20220103-0312,04/01/2022,R-20220103-0488,03/01/2022,20:26:08,Agua Potable,Falta de agua,Ciudadano (Call Center),Coyoacan,El Mirador,-99.1086689,19.3036972
I-20220103-0313,04/01/2022,R-20220103-0486,03/01/2022,20:21:33,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,Presidentes,-99.2205588,19.3776644
I-20220103-0315,04/01/2022,R-20220103-0493,03/01/2022,20:39:50,Agua Potable,Falta de agua,Ciudadano (Call Center),Coyoacan,Ajusco,-99.1518421,19.3227378
I-20220103-0316,04/01/2022,R-20220103-0244,03/01/2022,14:20:07,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Ciudad De Los Deportes,-99.1832645,19.3819337
I-20220103-0316,04/01/2022,R-20220103-0485,03/01/2022,20:10:37,Agua Potable,Falta de agua,Redes Sociales (Twitter),Benito Juarez,Ciudad De Los Deportes,-99.1832645,19.3819337
I-20220103-0318,04/01/2022,R-20220103-0484,03/01/2022,20:07:04,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,2da Ampliacion Presidentes,-99.229409,19.3741421
I-20220103-0319,04/01/2022,R-20220103-0483,03/01/2022,20:05:05,Agua Potable,Falta de agua,Redes Sociales (Twitter),Alvaro Obregon,Jalalpa Tepito 2da Ampliacion,-99.2351544,19.3738306
I-20220103-0321,04/01/2022,R-20220103-0482,03/01/2022,19:57:25,Agua Potable,Fuga,Ciudadano (Call Center),Iztapalapa,Desarrollo Urbano Quetzalcoatl,-99.0427539,19.3270666
I-20220103-0322,04/01/2022,R-20220103-0481,03/01/2022,19:55:23,Agua Potable,Falta de agua,Redes Sociales (Twitter),Benito Juarez,Del Valle Sur,-99.1734072,19.3696682
I-20220103-0324,04/01/2022,R-20220103-0480,03/01/2022,19:52:55,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Actipan,-99.1767768,19.3685843
I-20220103-0325,04/01/2022,R-20220103-0479,03/01/2022,19:50:32,Agua Potable,Fuga,Redes Sociales (Twitter),Alvaro Obregon,Florida,-99.1803017,19.3547434
I-20220103-0326,04/01/2022,R-20220103-0478,03/01/2022,19:49:28,Agua Potable,Falta de agua,Ciudadano (Call Center),Tlalpan,El Oyamel,-99.2392494,19.2376602
I-20220103-0327,04/01/2022,R-20220103-0477,03/01/2022,19:47:38,Agua Potable,Falta de agua,Ciudadano (Call Center),Coyoacan,Alianza Popular Revolucionaria,-99.1203143,19.3165549
I-20220103-0328,04/01/2022,R-20220103-0475,03/01/2022,19:45:37,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,2da Ampliacion Presidentes,-99.229409,19.3741421
I-20220103-0329,04/01/2022,R-20220103-0460,03/01/2022,18:58:46,Agua Potable,Fuga,Ciudadano (Call Center),Alvaro Obregon,Villa Verdun,-99.2535677,19.3390235
I-20220103-0330,04/01/2022,R-20220103-0497,03/01/2022,21:06:41,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Pedregal De San Nicolas 2a Seccion,-99.2354951,19.2889963
I-20220103-0331,04/01/2022,R-20220103-0496,03/01/2022,20:50:54,Agua Potable,Mal uso,Ciudadano (Call Center),Venustiano Carranza,Morelos,-99.1239709,19.4474551
I-20220103-0332,04/01/2022,R-20220103-0495,03/01/2022,20:50:50,Agua Potable,Falta de agua,Ciudadano (Call Center),Coyoacan,Adolfo Ruiz Cortinez,-99.1474958,19.3211006
I-20220103-0333,04/01/2022,R-20220103-0505,03/01/2022,21:26:23,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Actipan,-99.1791093,19.3698344
I-20220103-0334,04/01/2022,R-20220103-0504,03/01/2022,21:24:22,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,Presidentes,-99.2194274,19.3797201
I-20220103-0335,04/01/2022,R-20220103-0503,03/01/2022,21:23:37,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Actipan,-99.1791093,19.3698344
I-20220103-0336,04/01/2022,R-20220103-0502,03/01/2022,21:12:14,Drenaje,Drenaje Obstruido,Ciudadano (Call Center),Coyoacan,Campestre Churubusco,-99.1317472,19.353265
I-20220103-0337,04/01/2022,R-20220103-0500,03/01/2022,21:10:50,Agua Potable,Fuga,Ciudadano (Call Center),Coyoacan,Culhuacan Ctm Seccion Viii,-99.1049367,19.3160473
I-20220103-0338,04/01/2022,R-20220103-0499,03/01/2022,21:10:12,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,Presidentes,-99.2226814,19.3767541
I-20220103-0339,04/01/2022,R-20220103-0512,03/01/2022,22:20:23,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.1730979,19.3709324
I-20220103-0340,04/01/2022,R-20220103-0511,03/01/2022,22:19:36,Agua Potable,Falta de agua,Ciudadano (Call Center),Cuauhtemoc,Santa Maria La Ribera,-99.1624067,19.4533194
I-20220103-0341,04/01/2022,R-20220103-0510,03/01/2022,22:17:41,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,Guadalupe Proletaria,-99.1542313,19.5194372
I-20220103-0342,04/01/2022,R-20220103-0509,03/01/2022,22:12:00,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Heroes De Padierna,-99.223782,19.2851271
I-20220103-0343,04/01/2022,R-20220103-0514,03/01/2022,22:29:39,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,Presidentes,-99.22245383,19.37983848
I-20220103-0344,04/01/2022,R-20220103-0516,03/01/2022,23:10:43,Agua Potable,Fuga,Ciudadano (Call Center),Xochimilco,Barrio Del Puente,-99.0754642,19.2467328
I-20220103-0345,04/01/2022,R-20220103-0507,03/01/2022,22:08:04,Agua Potable,Fuga,Ciudadano (Call Center),Alvaro Obregon,2da Ampliacion Presidentes,-99.2284409,19.3718175
I-20220103-0346,04/01/2022,R-20220103-0515,03/01/2022,22:31:12,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,Ampliacion Piloto Adolfo Lopez Mateos,-99.2214168,19.3744541
I-20220103-0347,04/01/2022,R-20220103-0513,03/01/2022,22:22:19,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,Lomas De Capula,-99.21415508,19.38034453
I-20220103-0348,04/01/2022,R-20220103-0519,03/01/2022,23:26:47,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,Ampliacion Piloto Adolfo Lopez Mateos,-99.2314221,19.3694961
I-20220103-0349,04/01/2022,R-20220103-0517,03/01/2022,23:21:19,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,2da Ampliacion Presidentes,-99.2277868,19.3750714
I-20220104-0001,04/01/2022,R-20220103-0506,03/01/2022,21:30:33,Agua Potable,Fuga,Ciudadano (Call Center),Cuauhtemoc,Morelos,-99.1328339,19.444895
I-20220104-0007,04/01/2022,R-20220103-0026,03/01/2022,10:17:03,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Miguel Hidalgo 2a Seccion,-99.20362473,19.28321568
I-20220104-0008,04/01/2022,R-20220103-0030,03/01/2022,10:20:58,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,San Juan,-99.18273568,19.3806431
I-20220104-0009,04/01/2022,R-20220103-0029,03/01/2022,10:19:45,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Actipan,-99.17924881,19.36693378
I-20220104-0011,04/01/2022,R-20220103-0295,03/01/2022,15:29:47,Agua Potable,Falta de agua,Ciudadano (Call Center),Venustiano Carranza,Aeronautica Militar,-99.11682844,19.41883989
I-20220104-0012,04/01/2022,R-20220103-0294,03/01/2022,15:29:40,Agua Potable,Fuga,Ciudadano (Call Center),Alvaro Obregon,Ampliacion Piloto Adolfo Lopez Mateos,-99.2284888,19.37156441
I-20220104-0014,04/01/2022,R-20220103-0292,03/01/2022,15:26:25,Agua Potable,Fuga,Ciudadano (Call Center),Azcapotzalco,Petrolera,-99.19793844,19.48475871
I-20220104-0015,04/01/2022,R-20220103-0291,03/01/2022,15:25:40,Agua Potable,Fuga,Redes Sociales (Twitter),Venustiano Carranza,Pensador Mexicano,-99.07903124,19.44284803
I-20220104-0017,04/01/2022,R-20220103-0289,03/01/2022,15:23:29,Drenaje,Drenaje Obstruido,Ciudadano (Call Center),Coyoacan,Pedregal De Santa Ursula,-99.15596724,19.3090778
I-20220104-0177,04/01/2022,R-20220103-0286,03/01/2022,15:17:12,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,Vasco De Quiroga,-99.09555316,19.49076655
I-20220104-0413,05/01/2022,R-20220103-0225,03/01/2022,14:04:22,Agua Potable,Fuga,Ciudadano (Call Center),La Magdalena Contreras,Pueblo San Bernabe Ocotepec,-99.2580384,19.312512
I-20220105-0278,05/01/2022,R-20220103-0247,03/01/2022,14:24:59,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,2da Ampliacion Presidentes,-99.226107,19.3756433
I-20220106-0188,06/01/2022,R-20220103-0287,03/01/2022,15:20:45,Drenaje,Drenaje Obstruido,Ciudadano (Call Center),Alvaro Obregon,Pueblo Axotla,-99.1736613,19.3564584
I-20220106-0189,06/01/2022,R-20220103-0285,03/01/2022,15:09:53,Agua Potable,Fuga,Redes Sociales (Twitter),Cuauhtemoc,Doctores,-99.1453289,19.4153841
I-20220106-0190,06/01/2022,R-20220103-0282,03/01/2022,15:06:37,Agua Potable,Falta de agua,Ciudadano (Call Center),Xochimilco,Lomas De Nativitas,-99.088671,19.2417203
I-20220106-0191,06/01/2022,R-20220103-0276,03/01/2022,14:57:29,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.1747443,19.3698575
I-20220106-0192,06/01/2022,R-20220103-0275,03/01/2022,14:57:23,Agua Potable,Falta de agua,Ciudadano (Call Center),Gustavo A. Madero,Capultitlan,-99.134066,19.4764049
I-20220106-0196,06/01/2022,R-20220103-0274,03/01/2022,14:56:53,Agua Potable,Falta de agua,Redes Sociales (Twitter),Benito Juarez,Del Valle Sur,-99.1747318,19.3696457
I-20220106-0197,06/01/2022,R-20220103-0271,03/01/2022,14:47:23,Agua Potable,Falta de agua,Ciudadano (Call Center),Tlalpan,Club De Golf Mexico,-99.1570523,19.2859266
I-20220106-0203,06/01/2022,R-20220103-0283,03/01/2022,15:09:17,Agua Potable,Fuga,Ciudadano (Call Center),Cuauhtemoc,Roma Sur,-99.162805,19.4076881
I-20220106-0203,06/01/2022,R-20220103-0224,03/01/2022,14:03:11,Agua Potable,Fuga,Ciudadano (Call Center),Cuauhtemoc,Roma Sur,-99.162805,19.4076881
I-20220106-0206,06/01/2022,R-20220103-0273,03/01/2022,14:50:08,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,2da Ampliacion Presidentes,-99.2281758,19.3752951
I-20220106-0207,06/01/2022,R-20220103-0281,03/01/2022,15:03:21,Agua Potable,Fuga,Ciudadano (Call Center),Coyoacan,Alianza Popular Revolucionaria,-99.1184138,19.3131932
I-20220106-0208,06/01/2022,R-20220103-0272,03/01/2022,14:49:38,Agua Potable,Fuga,Ciudadano (Call Center),Azcapotzalco,Ampliacion San Pedro Xalpa,-99.2168306,19.4780608
I-20220106-0209,06/01/2022,R-20220103-0270,03/01/2022,14:45:27,Agua Potable,Fuga,Ciudadano (Call Center),Iztapalapa,Desarrollo Urbano Quetzalcoatl,-99.0436789,19.3233553
I-20220106-0210,06/01/2022,R-20220103-0268,03/01/2022,14:43:00,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.170663,19.3718717
I-20220106-0211,06/01/2022,R-20220103-0267,03/01/2022,14:41:49,Agua Potable,Fuga,Ciudadano (Call Center),Benito Juarez,Vertiz Narvarte,-99.1477694,19.3833633
I-20220106-0213,06/01/2022,R-20220103-0266,03/01/2022,14:40:34,Agua Potable,Fuga,Ciudadano (Call Center),Xochimilco,Barrio Caltongo,-99.0799447,19.2502483
I-20220106-0223,06/01/2022,R-20220103-0265,03/01/2022,14:40:26,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.17734981,19.37217676
I-20220106-0230,06/01/2022,R-20220103-0264,03/01/2022,14:38:35,Agua Potable,Falta de agua,Ciudadano (Call Center),Iztapalapa,El Vergel,-99.08447022,19.31737529
I-20220106-0235,06/01/2022,R-20220103-0262,03/01/2022,14:37:41,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Actipan,-99.1774474,19.3696831
I-20220106-0237,06/01/2022,R-20220103-0263,03/01/2022,14:38:27,Agua Potable,Fuga,Ciudadano (Call Center),Iztacalco,Agricola Pantitlan,-99.0657154,19.4077141
I-20220106-0238,06/01/2022,R-20220103-0261,03/01/2022,14:36:57,Drenaje,Drenaje Obstruido,Ciudadano (Call Center),Xochimilco,Santa Cruz Acalpixca,-99.0748072,19.2517272
I-20220106-0239,06/01/2022,R-20220103-0256,03/01/2022,14:32:41,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.174721,19.3725383
I-20220106-0240,06/01/2022,R-20220103-0252,03/01/2022,14:28:46,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Actipan,-99.1796022,19.368926
I-20220106-0241,06/01/2022,R-20220103-0250,03/01/2022,14:28:32,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.1734704,19.3716225
I-20220106-0242,06/01/2022,R-20220103-0258,03/01/2022,14:33:42,Agua Potable,Fuga,Ciudadano (Call Center),Coyoacan,Barrio Santa Catarina,-99.17703918,19.35158344
I-20220106-0243,06/01/2022,R-20220103-0259,03/01/2022,14:34:40,Agua Potable,Falta de agua,Ciudadano (Call Center),Gustavo A. Madero,Ampliacion Progreso Nacional,-99.1594908,19.5176549
I-20220106-0244,06/01/2022,R-20220103-0249,03/01/2022,14:28:09,Agua Potable,Falta de agua,Ciudadano (Call Center),Iztacalco,Agricola Pantitlan,-99.0666197,19.4130738
I-20220106-0245,06/01/2022,R-20220103-0248,03/01/2022,14:27:40,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.1714525,19.3696282
I-20220106-0248,06/01/2022,R-20220103-0246,03/01/2022,14:24:05,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Narvarte Oriente,-99.1518745,19.3858098
I-20220106-0249,06/01/2022,R-20220103-0245,03/01/2022,14:22:19,Agua Potable,Falta de agua,Ciudadano (Call Center),Venustiano Carranza,Jardin Balbuena,-99.1144213,19.4168892
I-20220106-0250,06/01/2022,R-20220103-0257,03/01/2022,14:33:29,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,Guadalupe Proletaria,-99.1554564,19.5215623
I-20220106-0251,06/01/2022,R-20220103-0242,03/01/2022,14:19:12,Agua Potable,Fuga,Ciudadano (Call Center),Benito Juarez,Del Valle Centro,-99.16452885,19.37870493
I-20220106-0252,06/01/2022,R-20220103-0243,03/01/2022,14:19:22,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.1743486,19.3689768
I-20220106-0253,06/01/2022,R-20220103-0240,03/01/2022,14:18:33,Agua Potable,Falta de agua,Redes Sociales (Facebook),Benito Juarez,Ciudad De Los Deportes,-99.18278933,19.38129589
I-20220106-0254,06/01/2022,R-20220103-0238,03/01/2022,14:17:30,Agua Potable,Falta de agua,Ciudadano (Call Center),Cuauhtemoc,Centro,-99.13407414,19.43184673
I-20220106-0256,06/01/2022,R-20220103-0255,03/01/2022,14:32:38,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Miguel Hidalgo,-99.18674881,19.28468896
I-20220106-0257,06/01/2022,R-20220103-0239,03/01/2022,14:17:36,Agua Potable,Fuga,Ciudadano (Call Center),Iztapalapa,Buenavista,-99.03487623,19.32860332
I-20220106-0258,06/01/2022,R-20220103-0235,03/01/2022,14:12:47,Agua Potable,Falta de agua,Ciudadano (Call Center),Gustavo A. Madero,Magdalena De Las Salinas,-99.14487362,19.47976212
I-20220106-0260,06/01/2022,R-20220103-0233,03/01/2022,14:11:32,Drenaje,Brote en aguas negras,Ciudadano (Call Center),Cuauhtemoc,Hipodromo,-99.1713153,19.4129674
I-20220106-0263,06/01/2022,R-20220103-0253,03/01/2022,14:29:25,Agua Potable,Fuga,Ciudadano (Call Center),Benito Juarez,Portales Norte,-99.14589272,19.37128607
I-20220106-0264,06/01/2022,R-20220103-0254,03/01/2022,14:29:33,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,6 De Junio,-99.12516487,19.5493667
I-20220106-0267,06/01/2022,R-20220103-0241,03/01/2022,14:19:00,Drenaje,Rejilla de piso,Ciudadano (Call Center),Azcapotzalco,El Jaguey,-99.1723609,19.48827848
I-20220106-0268,06/01/2022,R-20220103-0237,03/01/2022,14:16:38,Agua Potable,Fuga,Ciudadano (Call Center),Iztacalco,Agricola Pantitlan,-99.0638301,19.4179161
I-20220106-0269,06/01/2022,R-20220103-0227,03/01/2022,14:07:24,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Ciudad De Los Deportes,-99.18362617,19.38112384
I-20220106-0273,06/01/2022,R-20220103-0234,03/01/2022,14:12:15,Agua Potable,Fuga,Ciudadano (Call Center),Miguel Hidalgo,Lomas De Chapultepec Viii Seccion,-99.2324762,19.416179
I-20220106-0277,06/01/2022,R-20220103-0231,03/01/2022,14:10:33,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Miguel Hidalgo 1a Seccion,-99.19174449,19.28442402
I-20220106-0279,06/01/2022,R-20220103-0230,03/01/2022,14:10:22,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Heroes De Padierna,-99.2233217,19.2879959
I-20220106-0281,06/01/2022,R-20220103-0229,03/01/2022,14:07:43,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.1720176,19.3686472
I-20220106-0282,06/01/2022,R-20220103-0221,03/01/2022,13:58:53,Agua Potable,Fuga,Ciudadano (Call Center),Cuajimalpa de Morelos,San Mateo Tlaltenango,-99.2866247,19.3422965
I-20220106-0283,06/01/2022,R-20220103-0220,03/01/2022,13:57:08,Agua Potable,Fuga,Ciudadano (Call Center),La Magdalena Contreras,El Tanque,-99.25376058,19.32690752
I-20220106-0284,06/01/2022,R-20220103-0223,03/01/2022,14:02:17,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Ciudad De Los Deportes,-99.18120146,19.3818829
I-20220106-0285,06/01/2022,R-20220103-0226,03/01/2022,14:05:11,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,Ampliacion Piloto Adolfo Lopez Mateos,-99.22945976,19.37153911
I-20220106-0289,06/01/2022,R-20220103-0228,03/01/2022,14:07:30,Agua Potable,Falta de agua,Ciudadano (Call Center),Tlalpan,Pueblo Jardines De San Juan,-99.1841943,19.2148209
I-20220106-0306,06/01/2022,R-20220103-0032,03/01/2022,10:24:43,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,Lindavista Sur,-99.1372956,19.4921232
I-20220106-0308,06/01/2022,R-20220103-0171,03/01/2022,11:56:09,Agua Potable,Fuga,Ciudadano (Call Center),Coyoacan,Culhuacan Ctm Seccion Ix-B,-99.10312235,19.3140037
I-20220106-0309,06/01/2022,R-20220103-0177,03/01/2022,13:13:11,Agua Potable,Falta de agua,Ciudadano (Call Center),Iztapalapa,Pueblo Santa Martha Acatitla,-99.00743723,19.35849203
I-20220106-0313,06/01/2022,R-20220103-0185,03/01/2022,13:23:11,Agua Potable,Falta de agua,Redes Sociales (Twitter),Coyoacan,Pedregal De Santa Ursula,-99.1486609,19.30771088
I-20220101-0055,02/01/2022,R-20220104-0400,04/01/2022,14:34:58,Agua Potable,Fuga,Ciudadano (Call Center),Iztacalco,Viaducto Piedad,-99.13397312,19.40035233
I-20220101-0055,02/01/2022,R-20220104-0377,04/01/2022,14:13:02,Agua Potable,Fuga,Ciudadano (Call Center),Iztacalco,Viaducto Piedad,-99.13397312,19.40035233
I-20220101-0055,02/01/2022,R-20220104-0580,04/01/2022,21:29:20,Agua Potable,Fuga,Ciudadano (Call Center),Iztacalco,Viaducto Piedad,-99.13397312,19.40035233
I-20220101-0106,02/01/2022,R-20220104-0509,04/01/2022,17:03:14,Agua Potable,Fuga,Ciudadano (Call Center),Alvaro Obregon,Molino De Rosas,-99.20234777,19.37464636
I-20220101-0116,02/01/2022,R-20220104-0365,04/01/2022,13:52:49,Agua Potable,Fuga,Ciudadano (Call Center),Azcapotzalco,Arenal,-99.1509676,19.46510524
I-20220102-0002,02/01/2022,R-20220104-0021,04/01/2022,08:19:52,Agua Potable,Fuga,Ciudadano (Call Center),Benito Juarez,Portales Norte,-99.1488213,19.3717563
I-20220102-0140,03/01/2022,R-20220104-0179,04/01/2022,10:57:32,Agua Potable,Fuga,Redes Sociales (Twitter),Benito Juarez,Josefa Ortiz De Dominguez,-99.1423655,19.3874932
I-20220103-0009,03/01/2022,R-20220104-0412,04/01/2022,14:46:21,Agua Potable,Fuga,Redes Sociales (Twitter),Xochimilco,Barrio 18,-99.10869061,19.28171183
I-20220103-0043,03/01/2022,R-20220104-0012,04/01/2022,08:09:51,Agua Potable,Falta de agua,Ciudadano (Call Center),Iztapalapa,Pueblo San Sebastian Tecoloxtitla,-99.0119739,19.3628151
I-20220103-0136,03/01/2022,R-20220104-0099,04/01/2022,09:36:29,Agua Potable,Fuga,Ciudadano (Call Center),Miguel Hidalgo,Escandon Ii Seccion,-99.17203908,19.4010101
I-20220103-0159,03/01/2022,R-20220104-0229,04/01/2022,11:48:53,Agua Potable,Fuga,Ciudadano (Call Center),Coyoacan,Ajusco,-99.16195395,19.31391764
I-20220103-0159,03/01/2022,R-20220104-0357,04/01/2022,13:43:44,Agua Potable,Fuga,Ciudadano (Call Center),Coyoacan,Ajusco,-99.16195395,19.31391764
I-20220103-0159,03/01/2022,R-20220104-0368,04/01/2022,13:55:26,Agua Potable,Fuga,Ciudadano (Call Center),Coyoacan,Ajusco,-99.16195395,19.31391764
I-20220103-0338,04/01/2022,R-20220104-0085,04/01/2022,09:20:04,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,Presidentes,-99.2226814,19.3767541
I-20220104-0002,04/01/2022,R-20220104-0001,04/01/2022,00:00:04,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,1ra Ampliacion Presidentes,-99.2237223,19.3798794
I-20220104-0010,04/01/2022,R-20220104-0003,04/01/2022,07:36:37,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,Jardines Del Pedregal,-99.21184301,19.32452832
I-20220104-0013,04/01/2022,R-20220104-0004,04/01/2022,07:43:35,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Insurgentes Mixcoac,-99.18595433,19.37146826
I-20220104-0016,04/01/2022,R-20220104-0005,04/01/2022,07:52:47,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,1ra Ampliacion Presidentes,-99.22619283,19.37587609
I-20220104-0018,04/01/2022,R-20220104-0006,04/01/2022,07:57:02,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,1ra Ampliacion Presidentes,-99.22470689,19.37641757
I-20220104-0019,04/01/2022,R-20220104-0007,04/01/2022,07:59:26,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,Presidentes,-99.22000766,19.37906423
I-20220104-0020,04/01/2022,R-20220104-0008,04/01/2022,08:00:52,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,2da Ampliacion Presidentes,-99.22858,19.37591657
